show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s50,Movie,The Search for Santa Paws,Robert Vince,"Resse Alexander, Diedrich Bader, Sahar Biniaz, Jan Boss, Ameko Eks Mass Carroll, Melody Choi",Canada,"November 05, 2021",2010,G,101 min,"Drama, Family, Fantasy",Discover how the legendary friendship of Santa Claus and Santa Paws began.
s142,TV Show,Cesar Millan: Better Human Better Dog,,Dustin Rubin,,"August 04, 2021",2021,TV-14,1 Season,"Animals & Nature, Docuseries, Family",Renowned Dog Behaviorist Cesar Millan transforms dogs and pet parents.
s1324,Movie,The Princess Diaries 2: Royal Engagement,Garry Marshall,"Anne Hathaway, Heather Matarazzo, John Rhys-Davies, Chris Pine, Callum Blue, Kathleen Marshall",United States,"November 12, 2019",2004,G,114 min,"Comedy, Family, Romance",Princess Mia has 30 days to find a husband... or she can't become queen.
s755,Movie,Boat Builders,Ben Sharpsteen,,United States,"November 12, 2019",1938,TV-G,8 min,"Animation, Comedy, Family",Mickey and friends build a boat but it falls apart when christened. See details for advisory.
s1051,Movie,Marvel Studios' The Avengers,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner",United States,"November 12, 2019",2012,PG-13,145 min,"Action-Adventure, Fantasy, Science Fiction",Nick Fury recruits a team of heroes to battle an unexpected enemy.
s839,TV Show,Disney Take Two With Phineas And Ferb (Shorts),,,United States,"November 12, 2019",2010,TV-G,1 Season,"Animation, Kids, Parody",Real-life celebrities are interviewed by Phineas and Ferb.
s539,Movie,Homeward Bound II: Lost in San Francisco,David Ellis,"Robert Hays, Kim Greist, Veronica Lauren, Kevin Chevalia, Benj Thall, Max Perlich",United States,"May 01, 2020",1996,G,90 min,"Action-Adventure, Animals & Nature, Family",Three lost pets must navigate through San Francisco to find their way home.
s1381,Movie,Toy Story Toons: Hawaiian Vacation,Gary Rydstrom,"Tom Hanks, Tim Allen, Joan Cusack, Kristen Schaal, Wallace Shawn, Axel Geddes",United States,"November 12, 2019",2011,G,6 min,"Animation, Comedy, Family",Ken and Barbie get the vacation of their dreams.
s1007,TV Show,LEGO Star Wars: The Freemaker Adventures (Shorts),,,,"November 12, 2019",2016,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",The Freemakers lend a helping hand to the rebel fleet.
s603,TV Show,Disney Vampirina Ghoul Girls Rock! (Shorts),,"Isabella Crovetti, Jordan Davis, ViviAnn Yee, Mitchell Whitfield, Wanda Sykes, Ian Corlett",,"March 20, 2020",2017,TV-Y7,2 Seasons,"Animation, Fantasy, Kids",Rock out to music videos from The Ghoul Girls!
s615,TV Show,Star Wars Resistance,,"Christopher Sean, Josh Brener, Scott Lawrence, Suzie McGrath, As Himself",United States,"February 25, 2020",2018,TV-Y7,2 Seasons,"Action-Adventure, Animation, Kids","Kaz begins his spy mission, but is in over his head."
s875,Movie,Eddie's Million Dollar Cook-off,Paul Hoen,"Taylor Ball, Orlando Brown, Reiley McClendon, Mark Taylor, Rose McIver, Kylie Leydon",United States,"November 12, 2019",2003,TV-G,86 min,"Comedy, Coming of Age, Sports",A baseball prodigy swings for the culinary fences in a cooking competition.
s794,Movie,Cinderella II: Dreams Come True,John Kafka,"Jennifer Hale, Rob Paulsen, Corey Burton, Andre Stojka, Russi Taylor, Susanne Blakeslee",United States,"November 12, 2019",2002,G,77 min,"Animation, Fantasy, Kids","Three royal tales, featuring Cinderella and her life in the palace."
s948,Movie,"Honey, I Shrunk the Kids",Joe Johnston,"Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland, Thomas Brown, Jared Rushton","United States, Mexico","November 12, 2019",1989,PG,94 min,"Action-Adventure, Comedy, Family",Inventor Wayne Szalinski accidentally shrinks his kids to 1/4-inch tall.
